Fecha,Concepto,Ingreso,Egreso,Balance
22/7/2018,Domingo,$200.00,,$200.00
22/7/2018,Salidas,,-$100.00,$100.00
22/7/2018,Inscripcion UP,,-$100.00,$0.00
29/7/2018,Domingo,$200.00,,$200.00
29/7/2018,Inscripcion UP,,-$100.00,$100.00
29/7/2018,Consumo,,-$53.00,$47.00
31/7/2018,Consumo,,-$47.00,$0.00
11/8/2018,Salidas,,-$20.00,-$20.00
13/8/2018,Sueldo Daniel,$100.00,,$80.00
18/7/2018,Sueldo Monica,$50.00,,$130.00
18/7/2018,Salidas,,-$45.00,$85.00
19/8/2018,Domingo,$600.00,,$685.00
19/8/2018,Pago Mama,$150.00,,$835.00
19/8/2018,Pago Tarjeta Inbursa,,-$500.00,$335.00
19/8/2018,Inscripción Up,,-$300.00,$35.00
21/8/2018,Consumo,,-$30.00,$5.00
26/8/2018,Domingo,$200.00,,$205.00
26/8/2018,Pago Tarjeta Inbursa,,-$135.00,$70.00
26/8/2018,Pago Mama,,-$10.00,$60.00
26/8/2018,Consumo,,-$25.00,$35.00
28/8/2018,Consumo,,-$35.00,$0.00
29/8/2018,Pago Daniel,$100.00,,$100.00
30/8/2018,Salida,,-$90.00,$10.00
30/8/2018,Pago Mama,,-$10.00,$0.00
01/09/2018,Prestamo Rafa,$117.00,,$117.00
01/09/2018,Pago rafa,,-$80.00,$37.00
02/09/2018,Consumo,,-$17.00,$20.00
06/09/2018,Consumo,,-$20.00,$0.00
9/9/2018,Semana,$400.00,,$400.00
9/9/2018,Comidas,$120.00,,$520.00
9/9/2018,Trabajo Papa,$200.00,,$720.00
9/9/2018,Pago Tarjeta Inbursa,,-$520.00,$200.00
9/9/2018,Pago rafa,,-$66.00,$134.00
9/9/2018,Pago Mama,,-$100.00,$34.00
10/9/2018,Conusmo,,-$34.00,$0.00
14/9/2018,Prestamo mama,$300.00,,$300.00
14/9/2018,Fiesta,,-$247.00,$53.00
14/9/2018,Consumo,,-$53.00,$0.00
15/9/2018,Prestamo rafa,$200.00,,$200.00
15/9/2018,Salida,,-$100.00,$100.00
16/9/2018,Consumo,,-$45.00,$55.00
16/9/2018,Pago Mama,$245.00,,$300.00
16/9/2018,Pago a Mama,,-$300.00,$0.00
13/10/2018,Prestamo Rafa,$160.00,,$160.00
13/10/2018,Salida,,-$160.00,$0.00
21/10/2018,Semana,$800.00,,$800.00
21/10/2018,Pago Tarjeta Inbursa,,-$800.00,$0.00
25/10/2018,"
Trabajo ",$250.00,,$250.00
25/10/2018,Pago Tarjeta Inbursa,,-$200.00,$50.00
26/10/2018,Salida,,-$50.00,$0.00
28/10/2018,Semana,$200.00,,$200.00
28/10/2018,Trabajo Chef,$105.00,,$305.00
28/10/2018,Pago Tarjeta Inbursa,,-$300.00,$5.00
28/10/2018,Pago Daniel,$50.00,,$55.00
28/10/2018,Pago Tarjeta Inbursa,,-$50.00,$5.00
7/11/2018,Pago Daniel,$200.00,,$205.00
10/11/2018,Carne asada,,-$205.00,$0.00
16/12/2018,Semana,"$1,600.00",,"$1,600.00"
16/12/2018,Carro Papa,$400.00,,"$2,000.00"
16/12/2018,Pago tarjeta Inbursa,,"-$1,540.00",$460.00
16/12/2018,Pago rafa,,-$360.00,$100.00
18/11/2018,Reu,,-$100.00,$0.00
23/12/2018,Semana,$200.00,,$200.00
23/12/2018,Cigarros,,-$53.00,$147.00
24/12/2018,Cigarros,,-$53.00,$94.00
25/12/2018,Cigarros,,-$53.00,$41.00
26/12/2018,Cigarros,,-$40.00,$1.00
30/12/2018,Semana,$400.00,,$401.00
30/12/2018,Pago Mama,,-$150.00,$251.00
30/12/2018,Cigarros,,-$53.00,$198.00
31/12/2018,Cigarros,,-$53.00,$145.00
3/1/2019,Reu,,-$145.00,$0.00
6/1/2019,Semana,$400.00,,$400.00
6/1/2019,Pago,,-$53.00,$347.00
8/1/2019,Estacionamiento Galerias,,-$5.00,$342.00
8/1/2019,Maruchan,,-$26.00,$316.00
9/1/2019,Estacionamiento Galerias,,-$5.00,$311.00
9/1/2019,Sueldo Daniel,$100.00,,$411.00
6/1/2019,Cigarros,,-$41.00,$370.00
12/1/2019,Pantalone,,-$60.00,$310.00
12/1/2019,Pago Pau,,-$60.00,$250.00
13/1/2019,Semana,$200.00,,$450.00
14/1/2019,Cigarros,,-$53.00,$397.00
15/1/2019,Cigarros,,-$53.00,$344.00
17/1/2019,Cigarros,,-$53.00,$291.00
18/1/2019,Comida,,-$131.00,$160.00
18/1/2019,Fiesta,,-$100.00,$60.00
20/1/2019,Cigarros,,-$53.00,$7.00
23/1/2019,Semana,$200.00,,$207.00
23/1/2019,cigarros,,-$53.00,$154.00
24/1/2019,cigarros,,-$53.00,$101.00
25/1/2019,"comida carrera
",,-$100.00,$1.00
17/2/2019,semana,$800.00,,$801.00
17/2/2019,celular ,,-$800.00,$1.00
10/3/2019,semana,$600.00,,$601.00
10/3/2019,Pago tarjeta ,,-$440.00,$161.00
10/3/2019,cigarros,,-$55.00,$106.00
12/3/2019,cigarros,,-$55.00,$51.00
13/3/2019,cigarros,,-$45.00,$6.00
7/4/2019,Semana,$800.00,,$806.00
7/4/2019,pago tarjeta,,-$534.00,$272.00
7/4/2019,Lavada Carro,,-$30.00,$242.00
19/4/2019,Semana Santa,,-$242.00,$0.00
21/4/2019,Semana,$400.00,,$400.00
21/4/2019,Trabajo Daniel,$600.00,,"$1,000.00"
21/4/2019,Pago tarjeta,,-$500.00,$500.00
25/4/2019,Regreso cine,$100.00,,$600.00
26/4/2019,Cine,,-$73.00,$527.00
27/4/2019,cv,,-$50.00,$477.00
27/4/2019,bar,,-$104.00,$373.00
27/4/2019,Camisas daniel,,-$54.00,$319.00
27/4/2019,No se ,,-$99.00,$220.00
27/4/2019,Ahorro,,-$20.00,$200.00
3/5/2019,Cervezas,,-$110.00,$90.00
17/5/2019,Cigarros,,-$40.00,$50.00
18/5/2019,Cigarros,,-$48.00,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
,,,,$2.00
